AR,7116865,-37.165241,-56.891331,Carilo
AR,8015350,-34.383751,-58.70673,Santa Catalina - Dique Lujan
AR,3854895,-32.856831,-60.717541,Granadero Baigorria
AR,3860259,-31.4135,-64.181053,Cordoba
AR,3836277,-31.633329,-60.700001,Santa Fe de la Vera Cruz
AR,3836873,-26.824141,-65.222603,San Miguel de Tucuman
AR,3844421,-32.890839,-68.827171,Mendoza
AR,3430863,-38.002281,-57.557541,Mar del Plata
AR,3837213,-31.5375,-68.536392,San Juan
AR,3841956,-31.73197,-60.5238,Parana
AR,3435217,-27.4806,-58.834099,Corrientes
AR,3838233,-24.7859,-65.411659,Salta
AR,3432043,-34.921452,-57.954529,La Plata
AR,3843123,-38.951611,-68.059097,Neuquen
AR,3435810,-34.168739,-58.959141,Campana
AR,3429577,-27.46056,-58.983891,Resistencia
AR,3865086,-38.719601,-62.27243,Bahia Blanca
AR,3427761,-34.426029,-58.57962,Tigre
AR,3430545,-34.653439,-58.619751,Moron
AR,3430988,-34.570278,-59.105,Lujan
AR,3429652,-34.724178,-58.252651,Quilmes
AR,7647007,-41.145569,-71.30822,San Carlos de Bariloche
AR,3854985,-33.030159,-60.64045,Gobernador Galvez
AR,3429902,-34.749741,-58.686958,Pontevedra
AR,3435910,-34.613152,-58.377232,Buenos Aires
AR,3436134,-34.649658,-58.383411,Barracas
AR,3429576,-34.583328,-58.383331,Retiro
AR,3427387,-34.583328,-58.48333,Villa Ortúzar
AR,3436077,-34.562698,-58.45829,Belgrano
AR,3436003,-34.633331,-58.416672,Boedo
AR,3427431,-37.263939,-56.973042,Villa Gesell
AR,3429777,-25.599119,-54.573551,Puerto Iguazu
AR,3435356,-34.57365,-58.449242,Colegiales
AR,3832791,-31.424141,-64.49778,Villa Carlos Paz
AR,3832815,-31.29458,-64.29538,Villa Allende
AR,3838583,-32.946819,-60.63932,Rosario
AR,3838874,-33.130669,-64.349922,Rio Cuarto
AR,6693230,-34.610821,-58.480999,Villa Santa Rita
BR,3388368,-2.52972,-44.30278,Sao Luis
BR,3397838,-8.18028,-35.001389,Jaboatao
BR,3454061,-24.32,-46.998329,Peruibe
BR,3394682,-5.1875,-37.34417,Mossoro
BR,3455478,-27.645281,-48.667782,Palhoca
BR,3465284,-23.603889,-46.91917,Cotia
BR,3471393,-23.396111,-46.320831,Aruja
BR,3470127,-19.92083,-43.937778,Belo Horizonte
BR,3469058,-15.77972,-47.929722,Brasilia
BR,3456283,-22.883329,-43.103611,Niteroi
BR,3471039,-26.990561,-48.63472,Balneario Camboriu
BR,3448439,-23.547501,-46.636108,Sao Paulo
BR,3451190,-22.902781,-43.2075,Rio de Janeiro
BR,3450594,-23.20083,-47.286942,Salto
BR,3452925,-30.03306,-51.23,Porto Alegre
BR,3390760,-8.05389,-34.881111,Recife
BR,3446682,-23.02639,-45.555279,Taubate
BR,3453406,-23.528061,-46.344719,Poa
BR,3458449,-23.31028,-51.162781,Londrina
BR,3445831,-18.91861,-48.277222,Uberlandia
BR,3467865,-22.90556,-47.060829,Campinas
BR,3465624,-19.931669,-44.053612,Contagem
BR,3663517,-3.10194,-60.025002,Manaus
BR,3451234,-22.41139,-47.56139,Rio Claro
BR,3461655,-22.85833,-47.220001,Hortolandia
BR,3468100,-17.741671,-48.625,Caldas Novas
BR,3453643,-22.725281,-47.64917,Piracicaba
BR,3459462,-23.18639,-46.884171,Jundiai
BR,3457692,-22.21389,-49.945831,Marilia
BR,3453186,-25.094999,-50.161942,Ponta Grossa
BR,3397277,-7.115,-34.86306,Joao Pessoa
BR,3448636,-23.17944,-45.88694,Sao Jose dos Campos
BR,3403642,-7.23056,-35.881111,Campina Grande
BR,3450083,-29.68417,-53.806938,Santa Maria
BR,3457671,-23.42528,-51.93861,Maringa
BR,3468879,-27.098061,-48.9175,Brusque
BR,3469968,-26.919439,-49.066109,Blumenau
BR,3445578,-22.97056,-46.995831,Valinhos
BR,3459505,-21.76417,-43.350281,Juiz de Fora
BR,3465038,-15.59611,-56.096668,Cuiaba
BR,3450269,-29.717501,-52.425831,Santa Cruz do Sul
BR,3462377,-16.67861,-49.253891,Goiania
BR,3395981,-9.66583,-35.735279,Maceio
BR,3662762,-8.76194,-63.903889,Porto Velho
BR,3454244,-31.77194,-52.342499,Pelotas
BR,3456068,-29.678329,-51.130562,Novo Hamburgo
BR,3466537,-29.16806,-51.17944,Caxias do Sul
BR,3468403,-29.951111,-51.093891,Cachoeirinha
BR,3460102,-26.486111,-49.066669,Jaragua do Sul
BR,3466779,-24.95583,-53.45528,Cascavel
BR,3467747,-20.44278,-54.646389,Campo Grande
BR,3387296,-3.68611,-40.34972,Sobral
BR,3462315,-18.85111,-41.94944,Governador Valadares
BR,3452324,-22.125561,-51.388889,Presidente Prudente
BR,3460370,-23.305281,-45.965832,Jacarei
BR,3460728,-23.591669,-48.053059,Itapetininga
BR,3449319,-22.0175,-47.890831,Sao Carlos
BR,3461786,-23.46278,-46.533329,Guarulhos
BR,3386496,-5.08917,-42.801941,Teresina
BR,3448632,-25.534719,-49.20639,Sao Jose dos Pinhais
BR,3456166,-22.28194,-42.531109,Nova Friburgo
BR,3454857,-28.262779,-52.40667,Passo Fundo
